711_Known_Cancer_Genes	1661_Candidate_Cancer_Genes
CEBPA	KLF5
CBFA2T3	HORMAD1
BCR	RXRA
SRSF2	BTG2
WNK2	RHOB
FAT3	TXNIP
ETNK1	FOXQ1
CUX1	PAIP1
PHF6	ZFR2
ASXL2	PAK3
TEC	LTK
MALT1	INHBA
ITK	EPHA5
RAD51B	SLC38A3
SETD1B	ZMYND10
CDC73	HIST1H2BF
PABPC1	HIST1H2AD
SYK	HIST1H3D
CLTCL1	HIST1H4D
KMT2A	HIST1H2BE
NSD2	IKZF3
THRAP3	IKZF2
TCF12	CDKN2B
RAD21	PAG1
PSIP1	SLC6A15
POLQ	SLC1A6
POLE	SEMA5B
PMS2	SCN5A
PMS1	RASSF6
PIK3CB	PXDN
PCBP1	PRKCG
MSH2	PPP1R3A
MGMT	PDZRN3
MECOM	PCSK6
MAX	PCDH18
MAPK1	PCDH17
KDM5C	PCDH15
JAK1	OVCH1
IL6ST	OR10R2
IL7R	NRG2
ESR1	MYH2
EPAS1	HINFP
DICER1	MEP1A
CTNND1	LRRTM4
CNBD1	LRRN3
CDK4	LRFN5
CDK12	KLHDC4
AXIN2	KIAA1024
ATR	KBTBD11
AR	IL2RG
ABL1	GUCY1A2
ZMYM2	GRIA3
FAM135B	ADGRD1
CNTNAP2	BICRA
CAMTA1	GALNT13
PRDM1	FMNL3
SPECC1	FMN2
CBLC	F8
RUNX1T1	EVPL
P2RY8	DPP6
Sep-09	DOCK2
EXT2	DLG3
FAM46C	DLEC1
CLIP1	DLC1
CNOT3	DACH2
BCL9L	CYFIP1
KTN1	COL5A1
BCLAF1	CNTN5
SOCS1	CACNA2D1
GOPC	ADGRB3
BRD3	ATP10A
PICALM	ADAMTS20
DDX10	ABLIM2
TET1	ABCA7
DNM2	SLITRK5
RPL10	ST6GAL2
SFPQ	TBX18
CRTC1	DCSTAMP
SUFU	TNR
AKT3	TPO
DDR2	UNC13C
MDM2	ZAN
CCNE1	ZNF638
HNF1A	MAP3K4
DDX5	CDHR2
PRDM2	GPR183
MITF	ADGRA1
NCOA2	KNDC1
KLF6	SLC15A1
NIN	CDH24
TPR	HIST1H1C
PATZ1	CD70
ELL	KLHL6
CDX2	CD58
FEN1	TMEM30A
KAT6A	IRF8
PALB2	MEF2B
MB21D2	GNA13
TRRAP	ETS1
SMAD3	FAT2
FOXP1	DCLK1
CDK6	THSD7B
SPEN	RIMS2
AFDN	ZIC4
ECT2L	GLI3
BUB1B	THBS1
ERCC4	MUC6
FOXO3	NCSTN
BRIP1	MAML1
CCND2	IGF2R
SUZ12	PCDH9
EED	CNTNAP5
CD79A	TRIM58
EBF1	MYO18B
FBLN2	PNLIPRP3
NBEA	SEMA5A
RSPO2	CCDC102B
NCOR2	ATP4A
ZBTB16	CNTN1
CRLF2	FYB2
CSF1R	ZSWIM3
FOXL2	SHROOM3
GATA1	OR4C15
TFE3	OR4C46
TFEB	HTR1E
TFG	CCNL1
TFPT	RIT2
TFRC	DBR1
TAF15	ZZEF1
TAL1	DMD
TAL2	TMPRSS11D
TCEA1	STYK1
TCF3	SPHK1
TCL1A	HELZ2
STRN	NSMAF
SOX21	NEURL4
SRC	MYBL1
SRGAP3	LETM1
SRSF3	FXR1
SS18	FLT1
SS18L1	DSG1
SSX1	CDK13
SSX2	ADAMTS9
SSX4	FRMPD2
STAG1	GAL3ST1
SFRP4	CASZ1
SH3GL1	TCP11
SIRPA	RHBG
SIX1	TMEM199
SIX2	ADAMTS6
SKI	OR2D2
SLC34A2	CCNI
SLC45A3	RPGR
SMARCE1	PIK3C3
Sep-05	AQP12A
