,Hugo_Symbol,breast,bladder,kidney,Entrez
26,C19orf57,95.67651685393257,62.78363636363636,20.7184375,79173
27,BNIP3L,2941.079213483146,1581.7418181818182,2314.9128124999997,665
28,NT5DC2,964.5321348314607,1252.2709090909093,680.27875,64943
29,CFP,139.91808988764046,238.9409090909091,61.889375,5199
30,C4orf47,44.58101123595506,14.966363636363637,132.5784375,441054
31,TSFM,806.3492134831461,747.2827272727271,1245.341875,10102
32,DDR1,2195.376966292135,1923.57,3219.45125,780
33,MEIS3,347.27235955056176,293.7290909090909,83.7221875,56917
34,OR2H2,0.9142696629213484,0.950909090909091,0.40593750000000006,7932
35,SCNN1G,81.6067415730337,99.90454545454546,2949.9796875,6340
36,KIF1B,436.2312359550561,335.2990909090909,345.97499999999997,23095
37,PMEPA1,1075.816179775281,371.24636363636364,505.26250000000005,56937
38,MARVELD3,164.87808988764047,63.82909090909092,482.65000000000003,91862
39,C9orf152,239.39584269662922,45.03363636363636,5.69375,401546
40,RGPD8,78.9138202247191,28.15363636363636,31.143124999999998,727851
41,ANKH,1203.0522471910112,510.80909090909086,828.9134375,56172
42,TIMM17B,788.7906741573033,1315.2236363636366,1428.8,10245
43,MYLK3,3.4760674157303373,2.9072727272727272,26.3453125,91807
44,C8G,11.135842696629213,10.42090909090909,23.8821875,733
45,ZMAT2,2258.38808988764,2109.930909090909,2414.318125,153527
46,TBX5,65.98696629213484,150.31454545454545,0.7809375000000001,6910
47,NEUROG2,21.266404494382023,0.32,0.1,63973
48,PPFIA2,30.851235955056175,35.151818181818186,33.750625,8499
49,RAD51D,188.33831460674162,143.6609090909091,168.721875,5892
50,NPTX2,16.25,73.76454545454546,37.433437500000004,4885
51,MASP1,80.24292134831461,188.98818181818177,154.669375,5648
52,SPTA1,10.651573033707866,1.792727272727273,2.395625,6708
53,RHOG,1264.3017977528089,1525.3027272727275,902.0746875,391
54,UBA6,391.5767415730337,279.87545454545455,246.77,55236
55,NFAM1,48.27393258426967,44.3309090909091,26.4375,150372
56,KIAA0947,343.81067415730337,226.76909090909092,266.3025,-1
57,CPSF4L,4.394382022471911,0.9218181818181819,0.58375,642843
58,HIST1H1E,9.741123595505618,10.717272727272727,25.326875,-1
59,CLCN4,73.30640449438202,29.80636363636364,104.04343750000001,1183
60,UBAP2L,2004.6283146067415,1808.8045454545454,1532.0278125,9898
61,C1orf189,4.445168539325842,1.11,1.7703125000000002,388701
62,ZNF638,2312.873370786517,1743.1572727272726,1481.7403125,27332
63,CCL28,2677.8886516853927,57.564545454545446,270.468125,56477
64,DCUN1D1,457.71325842696626,393.8290909090909,563.13875,54165
65,RTN4,9605.163595505617,8244.472727272725,9905.84625,57142
66,CDK9,1206.5874157303372,1185.700909090909,906.2790625,1025
67,TANGO2,466.0113483146068,409.9381818181818,727.9209374999999,128989
68,FAM227A,22.063595505617975,6.114545454545455,16.118125,646851
69,SMARCD1,1120.9733707865169,726.6963636363637,894.8065625,6602
70,GALP,0.06730337078651685,0.0,0.0,85569
71,SLC35F1,11.060224719101125,14.67909090909091,21.7565625,222553
72,NKPD1,11.980337078651685,7.455454545454546,0.729375,284353
73,LUM,17151.11382022472,23790.977272727272,11834.6921875,4060
74,AURKB,62.778539325842694,96.57181818181817,19.396875,9212
75,PWWP2A,239.34719101123594,168.2381818181818,236.16000000000003,114825
76,KIR3DX1,0.9495505617977529,0.5645454545454546,0.5528125,90011
77,FAM96A,866.5769662921349,626.8918181818183,1707.9190624999999,-1
78,RPS6,94024.41584269662,92895.80090909092,50257.4678125,6194
79,BIRC5,56.969662921348316,71.91727272727272,24.097812499999996,332
80,SNPH,85.13067415730337,86.86545454545454,56.51625,9751
81,XRCC5,3574.4758426966296,3085.4672727272728,2928.35875,7520
82,ZNF558,342.9365168539326,193.98,213.296875,148156
83,CADPS2,634.6753932584269,233.69636363636363,1031.864375,93664
84,HIST1H2BA,0.0,0.0,0.6953125,-1
85,CCDC84,390.0502247191012,317.8454545454546,210.43249999999998,338657
86,EEPD1,606.3734831460674,325.5281818181818,132.0778125,80820
87,GALR3,0.2660674157303371,0.4754545454545455,0.201875,8484
