,Hugo_Symbol,breast,bladder,kidney,index
0,KIF1C,2032.5135955056182,2237.102727272728,2421.40625,6025
1,PAK1,727.5858426966292,936.2681818181817,698.795625,8345
2,MCFD2,1488.561797752809,880.5527272727272,1376.2181249999999,6824
3,RBM12,801.3414606741571,726.9009090909092,714.50125,9751
4,KRT86,25.21359550561798,17.595454545454547,9.0134375,6233
5,LPIN1,711.8341573033707,305.0445454545455,330.81843749999996,6488
6,ST7L,399.2366292134831,271.4827272727273,319.33343749999995,11562
7,SYT2,2.5873033707865165,2.356363636363636,2.4524999999999997,11788
8,ZNF84,449.390786516854,253.45363636363643,263.43875,13951
9,RBP2,13.569101123595507,1.9100000000000001,129.8465625,9784
10,DPP4,366.9215730337079,57.440909090909095,2231.7965625,3212
11,LAMB3,2443.1130337078653,1528.9209090909092,499.44593749999996,6278
12,DDR1,2195.376966292135,1923.57,3219.45125,2912
13,MEIS3,347.27235955056176,293.7290909090909,83.7221875,6909
14,KIF1B,436.2312359550561,335.2990909090909,345.97499999999997,6024
15,RGPD8,78.9138202247191,28.15363636363636,31.143124999999998,9917
16,ANKH,1203.0522471910112,510.80909090909086,828.9134375,619
17,MYLK3,3.4760674157303373,2.9072727272727272,26.3453125,7389
18,ZMAT2,2258.38808988764,2109.930909090909,2414.318125,13577
19,TBX5,65.98696629213484,150.31454545454545,0.7809375000000001,11979
20,MASP1,80.24292134831461,188.98818181818177,154.669375,6763
21,SPTA1,10.651573033707866,1.792727272727273,2.395625,11435
22,RHOG,1264.3017977528089,1525.3027272727275,902.0746875,9995
23,UBA6,391.5767415730337,279.87545454545455,246.77,12910
24,NFAM1,48.27393258426967,44.3309090909091,26.4375,7695
25,CCL28,2677.8886516853927,57.564545454545446,270.468125,1721
26,RTN4,9605.163595505617,8244.472727272725,9905.84625,10433
27,CDK9,1206.5874157303372,1185.700909090909,906.2790625,1874
28,LUM,17151.11382022472,23790.977272727272,11834.6921875,6593
29,AURKB,62.778539325842694,96.57181818181817,19.396875,1050
30,BIRC5,56.969662921348316,71.91727272727272,24.097812499999996,1259
31,XRCC5,3574.4758426966296,3085.4672727272728,2928.35875,13392
32,RBM24,218.51606741573033,200.62090909090912,30.801562500000003,9758
33,DDX25,12.76314606741573,1.7281818181818183,76.37625,2925
34,AMFR,1918.833370786517,1341.2263636363639,4241.098125,571
35,ENPP2,3541.9323595505616,904.1363636363639,2393.9809375,3572
36,PLCG1,1012.3547191011235,735.9072727272727,559.8053125,8882
37,NLE1,312.07112359550564,263.4081818181818,192.889375,7784
38,MUC6,205.75808988764047,2.1818181818181817,14.37125,7325
39,UBE3C,785.0331460674157,683.5345454545454,646.161875,12932
