node0,node1
76,73
77,73
74,73
73,75
11129,11127
4494,10674
6605,1775
2389,6762
2736,2737
2730,13971
11471,2730
7636,5652
12903,5652
5652,9089
5652,4074
5630,5652
5495,5518
11128,5497
5729,5499
2614,2615
5502,5503
12050,13161
9319,4726
1624,1276
1624,13161
5500,5729
12863,5279
5466,5280
5728,5507
5508,5036
11151,1355
5293,5481
5561,5728
5468,1811
5494,9223
9357,5496
10796,5496
2613,5496
4082,4081
2617,2616
12846,11656
4469,5729
5729,9171
12615,6647
12496,12462
1807,12502
12605,12452
8699,2625
2625,9326
6304,4720
6304,8881
4242,6339
6339,7531
6654,11859
5329,5328
12490,1381
1827,1791
1791,1831
5447,7708
2204,2170
3099,3096
11867,9380
5694,5676
1073,5071
1478,6124
7631,2589
9380,1784
7631,1784
8238,7111
1073,5073
12864,6006
6007,12864
2153,6120
6122,2152
13369,1363
1364,1782
5693,5686
12135,6583
5688,5680
5695,5686
11198,9166
11802,13085
11285,131
977,985
976,977
977,984
2092,2094
3438,3437
8677,8676
12140,12135
9666,0
7150,7149
6243,6760
1874,1748
5650,5649
8790,5630
7798,6778
10230,11116
2575,5963
8013,8023
10231,499
499,10232
2006,2330
1776,1828
2821,2330
1430,1429
5316,1413
5316,1412
2517,1634
7520,6258
4015,6258
3443,6258
7972,6258
5681,5688
7037,7149
7036,7150
2342,2346
11738,11739
4940,4939
11185,11132
11184,11132
11132,7634
11185,11127
11128,2043
12140,1624
12916,7637
1339,1340
9300,4177
9300,12657
5671,5688
5682,5689
5694,5683
8671,13178
6345,6346
11672,11674
11672,11673
11577,11634
12775,10011
12226,7101
7088,12227
9740,4924
8419,7538
5838,7539
1152,4951
2942,12956
11858,6654
5447,12948
11089,13020
12952,10164
12967,1840
3204,12968
12453,10025
12072,8226
13983,731
1045,12072
9166,1045
11568,11573
9343,5474
8024,9354
2822,7977
8338,13261
2822,452
5687,5688
2822,8671
6714,1196
10230,11115
9916,10104
5203,1052
4610,4393
5157,5155
5558,5557
3825,3826
1329,11686
11686,6855
8404,11686
11686,9656
11686,10175
11686,11311
12026,11686
13354,11686
13391,11686
11686,13376
7034,11686
11686,11322
12545,11686
6862,802
11686,5043
4143,11686
11686,2918
10688,11686
11686,11703
4965,11686
11686,4962
11686,4963
1645,11686
11686,2029
5122,11686
7860,11686
8510,11686
11686,12526
12527,11686
11686,12528
8714,837
10894,6811
630,6919
9166,8793
7636,3633
9840,13206
902,903
3449,9300
9300,10660
9300,5758
9300,969
6688,9300
8428,9315
9984,9315
9698,9984
9315,1186
10463,9695
10461,9693
10462,9694
10461,9059
7972,13178
7973,13177
10745,6059
6059,6143
9356,6059
11859,7545
12069,5688
6937,6524
8358,8359
9012,9011
1400,1401
7176,7177
973,1255
3346,1255
8513,12259
3668,1255
8739,8819
12243,5383
1805,3961
1805,1806
2373,6403
8694,8693
10461,9060
11108,1162
3308,2818
1059,4794
8662,8660
8661,8660
4383,5262
616,7958
7958,2315
7958,7973
616,7530
7530,7972
7530,2319
7696,616
7696,7958
7696,2899
7696,10800
2320,2314
6937,8946
8946,3631
12260,8748
3894,8748
8950,10837
8950,10839
9342,10842
10842,1823
8948,10845
8949,10848
4015,7520
7520,4244
3256,2869
3256,7666
10231,11116
10230,7972
11116,2822
2315,6258
2314,6258
6258,1773
1788,6258
3610,6258
4447,9869
