#Diseases    Genes
charcot-marie-tooth disease	9927/23095/7879/8898/4747/9516/4359/26353/1959/4000/1778/81857/5376/3236/2705/121512/16/3315/1785/3735/8988/5631/8565/59341/81846/2617/10397
colitis ulcerative	3458/1001/3394/2768/56946/2308/3554/11315/54361/8209/1601/5734/23308/54546/3127/3579/3717/3577/9966/54535/8764/7422/127281/3586/5307/1611/639/3172/4046/2805/167826/1738/159296/4485/55765/7128/57154/2212/8771/147/57511/64170/3663/8204/8927/3593/149233/1811/9923/3575/7850/6550/219771/9555/55722/327
colorectal neoplasms	7486/55892/6447/4089/11221/999/6581/2956/650/5395/27030/657/5979/7227/324/85415/466/2778/8667/4436/79695/4088/57609/1499/8313/652/4512/673/4522/862/207/4092/3911/4763/4595/4072/5606/7048/2042/5290/4292/26585
coronary artery disease	8613/79659/23294/1284/55973/10743/84159/4040/80310/221692/375056/6597/51530/8882/28/6943/7015/4205/55759/217/10400/84722/23293/8997/9992/6387/4018/22808/65264/1282/1952
crohn disease	8600/157638/339479/56946/56984/3717/63027/8995/1201/6122/283234/8209/6304/5771/1601/57178/2297/5334/8863/7297/10067/55054/10221/64407/356/3559/9966/7332/10320/64127/120892/1050/4088/6774/63892/3586/8807/639/22891/5734/3976/8453/677/11262/2646/26191/159296/4485/1788/23308/134288/84619/5155/147/54901/64170/2805/11116/8204/56301/3593/6347/149233/284358/85027/80762/55600/60468/6354/253430/8927/25824
death sudden	22822/29994/98/11216/6331/6662/7259/3781/23768/284252/2581/859/284217/84441/11278/2099/64848/3764/2890
diabetes mellitus type 2	169792/53335/60685/9559/79571/2888/54602/3087/5078/9223/3667/63892/4853/3636/10239/9861/55323/3767/5122/4544/221895/5167/7297/6833/5506/8622/5789/23101/10363/9905/169026/6517/4760/10644/79068/6928/10296/9370/4535/7466/9055/135154/3643/83795/11132/10253/57624/54469/3172/6934/6480/5937/54536/6927/8872/2184/57118/57104/3630/116985/54901/9479/8638/8462/8567/3784/640/1852/5184/63826/94241/3651/22837
dwarfism	169792/2200/2074/3481/8022/4591/2688/7474/2692/1161/8820/1280/81794/59341/7080/1482/7038/8200/389434/2260/2690/6777/2693/7253/50506/2261
esophageal diseases	6657/861/4481/51196/10391/125/11178/222643/6049/7157/4613/8125/217/57707/51741/283450/23406/80724/51008/1452/7048/4293/85480/5144
exophthalmos	2914/4276/4295/11116/23/29113/7253/3119/3118/3710/1493/399/115352
glomerulonephritis	8542/23607/5696/6665/1285/7225/22925/4643/4855/3118/3119/3117/8741/8897/3075/81/9526/3123
gout	6446/5289/7369/116085/257397/6014/40/5649/5871/2895/7536/7547/7092
graves disease	2914/4276/4295/11116/23/29113/7253/3119/3118/3710/1493/399/115352
head and neck neoplasms	4340/131/3265/861/3123/51196/4221/125/595/11178/51079/26278/222643/55504/3117/7157/2304/6049/217/84312/79577/51741/283450/80018/80724/3106/8125/1452/2122/7048/8626/51562/4293/5144/10391
hypothalamic diseases	9049/8022/374654/22954/2688/84100/8195/123016/5626/2778/2692/129880/8820/55212/79738/54903/80184/91147/582/585/6658/2737/583
leukemia b-cell	50515/472/5450/694/604/6176/10272/3662/9855/11262/596/4609/115761/602/25865/3431/254065
leukemia myeloid	9321/26511/84936/57082/10499/861/7994/4330/79142/7704/2033/3815/4869/2078/63976/3717/865/5371/5914/8833/1387/2120/2322/23305/4928/7913/8522/64783/10801/57591/2000/54904/4629/5159/2521/64324/3845/3205/2122/8021/4026/153090/862
lipid metabolism disorders	2717/19/1717/1203/348/411/26580/344/4547/10555/3073/2629/338/27329/5346/26119/3949/335/8882/80331/224/1200/4000/51128/1201/284119/6609/7391/5476/255738/3931/1509/2720/84823/857/5660/3074/410/285362/4864/2760/2646/5468/1593/4281/10577/427/2581/5538/4023
liver cirrhosis	1656/643/3394/5890/4126/7132/4664/51300/4790/57057/3595/3930/3592/3118/23534/5155/22806/23228/3663/9844/8986/3119/6689/6122
liver cirrhosis biliary	1656/643/3394/5890/4126/7132/4664/51300/4790/3595/3930/3592/3118/23534/5155/22806/23228/3663/9844/8986/3119/6689/6122
lung diseases obstructive	5089/6046/123688/80332/85480/1118/3119/91137/1116/3570/57628/9283/3113/169026/23418/3117/3111/6821/64375/1999/4088/4589/3122/10144/56946/7941/9173/94103/26953/1017/53916/4855/3658/90865/3118/8809/3115/3560/84640/5144
lupus erythematosus	3112/221527/3119/7917/8341/10125/6775/629/3663/1773/1797/10919/1656/3092/9474/780/4277/259197/5133/150221/4276/29113/78994/3684/7916/6941/7100/55024/3118/3117/7332/10320/1380/4439/26191/23534/3009/717/29777/8859/3122/64288/639/721/3123/100293534/63940/7918/83648/474354/2113/8870/84547/3106/115509/25780/696/1460/3687/7292/23/57176/7128/2213/4855/7741/7148/640/1997/10318/283165/286016/1493/11277/720
lymphoma	1656/604/472/4869/29113/4253/3127/843/3118/238/605/399/4609/64895/673/2531/4791/80184/8301/8028/2213/3119/595/89795
lysosomal storage diseases	2717/175/4669/2998/4125/348/4126/5257/411/2997/5836/2588/2629/2720/4864/2760/5261/1513/10020/2990/51128/6609/2548/5476/6448/5256/57192/3073/5660/3074/410/285362/2799/2517/79158/84572/3423/5255/5236/5224/10577/427/2581/4758/3425
macular degeneration	221527/1001/1524/6785/2074/629/6499/7148/1071/59338/717/10554/10516/5961/23418/3426/259266/6103/10877/8224/7422/7078/8859/8842/718/24/5978/9709/3075/81579/2165/84839/3990/7936/81494/6048/8797/80864/7439/5654/7099/3078/1471/1797
metabolic syndrome x	84811/79660/157638/8658/10221/2646/9709/79635/4544/8882/3990/1071/11321/4023
motor neuron disease	6606/1639/367/23064/4744/155061/26580/998/23435/7443/10133/7415/3508/283/23025/54822/57679/538/6647/22920/6311/1804/29978/9217/7074/2521/203228/6607/59341/2617/2733
multiple sclerosis	199/221527/7917/64332/3394/3107/10461/3087/629/5460/5594/7132/54806/7148/23498/2315/965/10919/23095/3122/4277/942/4276/4855/10538/6891/3575/7916/3118/3559/1041/3117/148867/10892/4234/27120/8320/677/717/6565/5747/921/923/678/116379/5788/8740/54536/3109/7936/868/3106/147/3119/5796/53832/8449/3593/7919/3112/22898/3123/7412/11262/100133941/60468/5341/6774/3127
muscular dystrophies	7273/9215/2010/7555/4625/22954/6444/5339/9782/10585/1292/10020/1293/4154/2318/9499/4000/8291/8106/23224/1756/1291/29954/859/55624/825/6445/57190/8557/3679/1760/6442/2273/23345/5213/6443
mycobacterium infections	6299/3123/4277/1540/3127/3118/9966/3117/64127/1536/8517/3122/6772/124460/3594/3460/3593/149233/5932/3119/8767/3459
myeloproliferative disorders	5159/7158/25/7066/11116/3205/11064/55752/124540/3717/2122/861/4297/613/2120/2260/9659/54790/26127
nutritional and metabolic diseases	175/5824/969/79571/2998/4125/5078/51204/2243/246778/1071/8504/2760/5346/23025/5091/11321/4436/116985/10157/3481/5897/57624/55215/57827/3074/4306/1512/10165/6446/6048/2538/22845/5236/1184/5649/10111/54602/1629/7486/374291/1584/5871/56945/5160/5836/84320/2395/115352/55323/6891/7916/8443/169026/335/54822/64421/64375/28976/84062/4538/2956/6311/3931/2720/686/3976/1738/23242/79068/57118/85476/10128/6338/4855/5190/3651/5341/183/2639/3425/4023/4669/56052/23101/23479/4547/9861/5096/6262/2068/221895/10363/4536/6521/6821/53630/26258/1201/10253/5476/6569/1244/857/11232/4683/10666/1234/25949/6340/1236/3952/203228/3242/1758/7092/5830/7917/84811/53335/9559/2177/2888/2113/594/7390/2683/3676/3073/412/27329/50617/84162/7536/3920/4539/4261/54469/164656/9055/4541/2584/6647/7391/1804/50484/51021/6337/54536/91869/63826/6890/4935/6014/8671/57178/5184/79728/9131/9526/221527/169792/3479/388552/10020/9382/344/411/287/37/5354/55328/10477/2158/116085/2990/10296/4760/8540/55120/8658/1340/83795/284119/8622/29978/224/5195/4286/540/435/7507/4864/5095/79158/4126/7036/8638/7352/1729/10562/6480/5538/6389/3939/445/847/257397/291/5257/5395/5996/4277/10554/3592/3118/34/9370/140803/3630/142680/57192/593/493753/285362/2517/5261/779/493856/114904/5619/5079/6609/4952/2934/11234/3087/275/9409/2110/4508/998/3767/2629/22836/4976/283/3949/10195/3117/84991/723961/4000/63892/255738/1593/4281/80018/7547/8935/1371/3141/5191/5255/7148/8809/4544/29107/383/3107/1513/4160/6753/4094/2178/7421/249/79796/26119/5993/2073/26191/4512/2263/8546/2591/2895/57829/1509/4439/6934/2581/5009/4514/60685/1233/55423/5696/4008/5192/1504/8625/525/640/54658/9380/5213/2176/10221/348/11136/7299/8431/25978/5498/10555/5194/472/7074/2670/85365/7508/84343/2896/2189/351/79660/6901/3251/4537/51/35/3784/3981/7466/59067/6514/55670/189/8462/65125/60468/29851/215/2717/1639/2109/11200/3558/2175/6231/9223/1643/8074/10239/5092/7274/1636/3077/1589/7306/135154/3643/2632/95/5428/846/5447/181/7128/7389/641/1586/3990/3516/91949/5193/212/5994/5972/7048/1852/4026/256297/4540/6559/5663/2074/1203/2592/56984/51422/26580/57514/4276/9445/3257/7841/2072/2203/6517/3559/10644/1029/3304/89781/51128/22920/84572/5189/6770/27034/167826/3636/4292/2184/5796/864/5224/79803/5373/7157/3815/7415/2671/23064/6898/1807/4069/26471/2731/4723/2997/36/875/7276/5443/3119/3127/1230/9180/8882/2108/9401/7227/567/2548/1585/2582/5256/3172/440138/3305/10019/22918/22807/7054/2521/116028/427/94241/5429/64221/4758/3112/64135/4247/389015/5167/430/2778/5122/80331/9479/1200/5162/57104/8675/3122/56652/84823/79635/2235/3109/204/8813/629/1493/443/5289/19/30061/2187/2065/7297/51251/10466/6519/2539/2588/23435/40/6928/4535/6261/1355/538/4744/1806/5053/9217/9173/2829/2799/6927/25839/6341/5468/9997/5771/1471/53347/22837/4137/57505/6605/1797/157638/1717/2646/5896/4853/5837/25865/10133/23308/229/4685/9905/2071/3284/4598/1161/6448/3123/2653/5264/5660/65266/185/5937/410/4650/84342/7919/1373/10577/3081/5789/4513/5828/178/3667/155061/79840/760/717/338/1798/6833/9369/5506/5251/8872/4351/57679/210/2745/11132/8859/3586/8807/54665/4728/29121/3778/9709/3423/54901/3145/4072/5860/4519/8567/5144/139716/57817/7369/6329
peroxisomal disorders	215/5830/5189/4598/5824/847/5194/55670/5828/5191/8443/5193/5264/8540/5190/5195/51/5192/8504/9409
psoriasis	100507436/221527/5089/3107/7128/7920/177/7940/9825/3112/6773/54620/780/717/10554/4276/7297/29113/3127/5980/6941/831/5966/3118/10758/54535/134510/7148/3122/353145/8870/51752/147/4049/4843/63940/3106/90134/89870/11074/6048/5687/3596/10318/2794/3593/149233/3133/4855/9692/3119/170680/309/7124
purine-pyrimidine metabolism inborn errors	6446/5289/7369/116085/1806/257397/6014/3251/40/1807/5649/5871/2895/7536/7547/7092
renal tubular transport inborn errors	6559/3939/5972/11136/1184/8074/1187/6519/5251/760/7421/5167/1636/6337/65266/6521/3758/142680/6569/7809/525/185/4306/183/6514/6340/6557/8671/6338/50617/1729/65125/1758/4952
sarcoma	8648/1277/11200/2131/2115/2308/7030/221895/2078/2130/6756/7490/6760/2313/5081/79058/23512/1649/5155/2521/6757/8013/5077/727837/5925
spastic paraplegia hereditary	3798/5354/3329/23111/9907/80208/51324/65055/6683/10908/23503/79152/22948/3897/547/26580/57165/123606/51062/6687
spinocerebellar ataxias	3736/23345/23064/6507/5173/9640/472/56652/6908/146057/3708/5582/55775/10939/4287/6311/5428/8622/6712/773/10528/785/5521/6314/56997/255928/6310/25814
spinocerebellar degenerations	3736/23345/785/6507/5173/54840/9640/773/56652/6908/146057/3708/5582/55775/10939/4287/6311/5428/8622/6712/64374/23064/5521/2395/6314/56997/255928/10528/6310/25814
spondylarthropathies	100507436/10085/147/4276/25949/3107/3593/3837/149233/5966/51752/864/4049/10678/4055/10758/9755/7124
tauopathies	4137/5663/23036/348/5664/55103/10452/10228/25902/1191/2629/2041/10913/51435/4536/4535/351/7305/4336/926/4973/5819/344558/1378/9627/8301/23607/945/9451/341/3662/274/5071/9846/54209
uveal diseases	4340/1121/4276/29113/3595/4016/149233/8870/4942/3107/780/170680/3586/54535/5080/3106/3135
varicose veins	51438/7247/652/5629/2043/8622/83478/201456/3667/4048/5593/28951/1879/8777/29761/814/26031/27436/49855/10512
vasculitis	4340/4276/80271/29113/3595/149233/8870/3107/780/170680/3586/54535/2212/3106/3135
