,breast,bladder,kidney
0,2769.355505617977,2427.0718181818183,3893.225625
1,1115.7974157303372,1048.8163636363636,612.74125
2,2.3464044943820226,2.8463636363636367,40.685625
3,257.94146067415727,149.4190909090909,184.785
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,484.2373033707866,487.43545454545443,368.833125
9,196.6585393258427,415.2563636363636,220.1928125
10,1.0,1.0,1.0
11,1876.1082022471908,1588.9645454545455,1621.4196875
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,45.25011235955056,43.51636363636364,26.2334375
16,1.0,1.0,1.0
17,98.34966292134831,175.64272727272723,202.6559375
18,387.14382022471915,294.36999999999995,347.23406250000005
19,2440.5738202247194,1724.7781818181816,1536.2946875
20,1.0,1.0,1.0
21,1082.5912359550564,1308.541818181818,1183.3640625
22,741.2659550561798,642.4372727272727,477.785
23,1.0,1.0,1.0
24,1.0,1.0,1.0
25,79.49359550561798,74.97363636363637,41.399375000000006
26,7012.534269662922,6445.079090909089,5919.969375
27,394.59404494382017,357.22,387.080625
28,754.1724719101123,649.8336363636363,548.78125
29,224.87269662921344,123.3290909090909,92.8146875
30,1.0,1.0,1.0
31,2022.4251685393256,154.0390909090909,82.34187499999999
32,1.0,1.0,1.0
33,1.0,1.0,1.0
34,89.61640449438204,118.02454545454545,61.68250000000001
35,26.927865168539324,14.996363636363638,11.9828125
36,36.41483146067417,19.99181818181818,11.8865625
37,1.0,1.0,1.0
38,630.6569662921348,623.7299999999998,534.7434375
39,5232.928764044944,5406.6390909090915,4626.301875
40,167.1930337078651,137.93363636363634,177.13875
41,1.0,1.0,1.0
42,3095.9879775280897,2551.259090909091,2452.126875
43,1136.1091011235953,784.5,909.57375
44,550.073595505618,335.6254545454545,274.7115625
45,341.93764044943816,136.14090909090908,436.1065625
46,70.28831460674157,34.03727272727272,96.3671875
47,657.4471910112359,744.7627272727271,441.3209375
