,0,1
0,10840,10840
1,10840,22836
2,10840,160428
3,10840,253782
4,801,801
5,801,805
6,801,808
7,801,810
8,801,811
9,801,816
10,801,818
11,801,824
12,801,914
13,801,998
14,801,1026
15,801,1028
16,801,1066
17,801,1152
18,801,1385
19,801,1387
20,801,1432
21,801,1476
22,801,1585
23,801,1636
24,801,1655
25,801,1739
26,801,1742
27,801,1756
28,801,1769
29,801,1813
30,801,1915
31,801,1938
32,801,1956
33,801,2017
34,801,2028
35,801,2046
36,801,2057
37,801,2064
38,801,2099
39,801,2104
40,801,2130
41,801,2247
42,801,2281
43,801,2335
44,801,2353
45,801,2475
46,801,2596
47,801,2691
48,801,2697
49,801,2705
50,801,2752
51,801,2796
52,801,2869
53,801,2886
54,801,2902
55,801,2932
56,801,3064
57,801,3163
58,801,3320
59,801,3371
60,801,3552
61,801,3553
62,801,3569
63,801,3593
64,801,3630
65,801,3643
66,801,3691
67,801,3708
68,801,3710
69,801,3753
70,801,3756
71,801,3783
72,801,3784
73,801,3785
74,801,3827
75,801,3845
76,801,4043
77,801,4069
78,801,4082
79,801,4086
80,801,4133
81,801,4137
82,801,4155
83,801,4284
84,801,4318
85,801,4482
86,801,4513
87,801,4520
88,801,4589
89,801,4609
90,801,4628
91,801,4638
92,801,4641
93,801,4646
94,801,4650
95,801,4651
96,801,4790
97,801,4842
98,801,4843
99,801,4846
100,801,4900
101,801,4988
102,801,5074
103,801,5121
104,801,5130
105,801,5132
106,801,5136
107,801,5286
108,801,5293
109,801,5295
110,801,5303
111,801,5308
112,801,5315
113,801,5319
114,801,5337
115,801,5443
116,801,5524
117,801,5580
118,801,5594
119,801,5617
120,801,5741
121,801,5803
122,801,5813
123,801,5816
124,801,5862
125,801,5864
126,801,5879
127,801,5894
128,801,5898
129,801,5899
130,801,6011
131,801,6014
132,801,6261
133,801,6262
134,801,6263
135,801,6271
136,801,6285
137,801,6402
138,801,6517
139,801,6546
140,801,6548
141,801,6622
142,801,6662
143,801,6667
144,801,6714
145,801,6736
146,801,6786
147,801,6790
148,801,6801
149,801,6844
150,801,6925
151,801,6929
152,801,6932
153,801,6962
154,801,7010
155,801,7051
156,801,7052
157,801,7057
158,801,7076
159,801,7095
160,801,7124
161,801,7134
162,801,7220
163,801,7225
164,801,7273
165,801,7409
166,801,7432
167,801,7442
168,801,8326
169,801,8411
170,801,8428
171,801,8536
172,801,8635
173,801,8721
174,801,8743
175,801,8802
176,801,8826
177,801,8837
178,801,8877
179,801,8915
180,801,8989
181,801,9478
182,801,9495
183,801,9545
184,801,9882
185,801,9987
186,801,10174
187,801,10497
188,801,10645
189,801,10788
190,801,10840
191,801,10891
192,801,10927
193,801,11076
194,801,11168
195,801,23025
196,801,23209
197,801,23236
198,801,23352
199,801,23413
200,801,23523
201,801,23704
202,801,28876
203,801,29904
204,801,30818
205,801,51206
